Rating,Corporation,Year,Default Probability
A,DENTSPLY SIRONA Inc.,2011,0.000171685165385
BBB+,DTE Energy Center LLC,2011,0.000216402227901
BBB+,DTE Energy Center LLC,2011,0.000194059382798
A,DTE Energy Co.,2011,0.000180836857583
B,Dana Incorporated,2011,0.000032259761277
B,Dana Incorporated,2011,0.000026236312286
A+,Danaher Corp.,2011,0.830797600601721
BBB+,Devon Energy Corp.,2011,0.000235216751704
BBB+,Devon Energy Corp.,2011,0.000207510350155
A,Diageo PLC,2011,0.000083298253450
BB,Douglas Dynamics LLC,2011,0.000151661050249
A,Dover Corp.,2011,0.563754558401894
AA,Dover Corp.,2011,0.583017115491011
BBB+,EOG Resources Inc.,2011,0.000058679854742
BBB,EOG Resources Inc.,2011,0.000061418613087
BBB,EQT Corporation,2011,0.000071937246138
BBB,EQT Corporation,2011,0.000066436840944
BBB,EQT Corporation,2011,0.000074901316956
BBB,Eastman Chemical Co.,2011,0.000040694716605
CC,Eastman Kodak Co.,2011,0.000249385574217
A,Ecolab Inc.,2011,0.000133204435835
AA-,Eli Lilly & Co.,2011,0.682707903131921
A,Emerson Electric Co.,2011,0.247292458270013
A-,Enbridge Inc.,2011,0.000165518941130
BB-,Endo International PLC,2011,0.000094498548732
BB,EnerSys,2011,0.000030594440530
BBB-,Entergy Corp,2011,0.000134507803011
BBB-,Enterprise Products Operating LLC,2011,0.000034910117406
BBB-,Enterprise Products Operating LLC,2011,0.000029582377590
BBB+,Equifax Inc.,2011,0.000061425738767
BB-,Equinix Inc.,2011,0.000019152277751
BB-,Equinix Inc.,2011,0.000022461392195
BBB,Exelon Corp.,2011,0.000117206801438
BBB-,Exelon Corp.,2011,0.000102576849540
AAA,Exxon Mobil Corp.,2011,0.059152263106614
A,FMC Technologies Inc.,2011,0.000106690476878
BBB,FedEx Corp.,2011,0.000275489758684
BBB-,Fiserv Inc.,2011,0.000063646363836
BB-,Flowserve Corp.,2011,0.000042270885209
A,Fluor Corp.,2011,0.000048604170776
A,General Mills Inc.,2011,0.000057832698420
BBB,"Gilead Sciences, Inc.",2011,0.000394976756801
A-,"Gilead Sciences, Inc.",2011,0.000392020195965
AA,GlaxoSmithKline Capital Inc.,2011,0.700311406481328
B,Great Lakes Dredge & Dock Corp.,2011,0.000021930263010
B,Great Lakes Dredge & Dock Corp.,2011,0.000020856944973
CCC,Greenbrier Companies Inc. (The),2011,0.000031157841954
CCC,Greenbrier Companies Inc. (The),2011,0.000026788025387
BB+,Greif Inc.,2011,0.000032597228482
BB,Greif Inc.,2011,0.000029641289760
BB+,Griffon Corp.,2011,0.000038189431983
BB+,Griffon Corp.,2011,0.000035434737475
B,Group 1 Automotive Inc.,2011,0.000057330071585
BB-,Hanesbrands Inc.,2011,0.000051595571618
BBB,Harley-Davidson Inc.,2011,0.000249894236516
AA,Hershey Company (The),2011,0.445762745724896
AA,Honeywell International Inc.,2011,0.744155193551719
A,Hunt (J.B.) Transport Services Inc.,2011,0.000068620801398
A,IDACORP Inc.,2011,0.000127434204288
BBB-,IDEX Corp.,2011,0.000061285075167
BBB+,ITT Corp.,2011,0.000037366920031
AA,Illinois Tool Works Inc.,2011,0.172028291809962
A+,Illinois Tool Works Inc.,2011,0.176246063868864
BBB,Ingredion Incorporated,2011,0.000051144850688
A,Intel Corp.,2011,0.000556010507215
A,Intel Corp.,2011,0.000594032239310
BB+,Interpublic Group of Cos. Inc.,2011,0.000015213600762
B,Iridium Communications Inc.,2011,0.000030827869649
BB-,Jabil Inc.,2011,0.000044287972107
B+,JetBlue Airways Corporation,2011,0.000044260787920
AAA,Johnson & Johnson,2011,0.000407392982221
AAA,Johnson & Johnson,2011,0.000479113560607
A,Johnson (S.C.) & Son Inc.,2011,0.000313615885411
BBB-,Johnson Controls Inc.,2011,0.000191869564057
B-,KB Home,2011,0.000056761982219
CCC+,KB Home,2011,0.000049284564132
B-,KB Home,2011,0.000060272336826
BBB,Kennametal Inc.,2011,0.000066740386653
BBB+,Kimberly-Clark Corp.,2011,0.252854079223915
BBB-,Kinross Gold Corp.,2011,0.000041055477294
BBB+,Kohl's Corp.,2011,0.000085494127662
BBB+,Kohl's Corp.,2011,0.000085103523156
A-,Koninklijke Philips N.V.,2011,0.000051629034242
A-,Koninklijke Philips N.V.,2011,0.000059672360764
B+,Koppers Holdings Inc.,2011,0.000041321182909
A,Korea Electric Power Corp.,2011,0.190277604519319
BB+,Lam Research Corp.,2011,0.000113804202666
B-,Lamar Advertising Co.,2011,0.000057391265576
B,Louisiana-Pacific Corp.,2011,0.000066325210986
C,"M/I Homes, Inc.",2011,0.000222175375019
CCC,"M/I Homes, Inc.",2011,0.000194510493986
CCC-,MGM Resorts International,2011,0.000022539371142
CCC,MGM Resorts International,2011,0.000025083730674
AAA,Madison Gas & Electric Co.,2011,0.000083921586381
BBB,Magellan Midstream Partners LP,2011,0.000057388446480
BBB-,Marathon Oil Corporation,2011,0.000174072509028
A,Martin Marietta Materials Inc.,2011,0.000034367576443
B+,MasTec Inc.,2011,0.000029134557878
A-,McCormick & Co. Inc.,2011,0.000070929613167
A-,McCormick & Co. Inc.,2011,0.000063900925730
AAA,Merck Sharpe & Dohme Corp.,2011,0.000126680433316
B+,Meritage Homes Corporation,2011,0.000020439419226
CCC+,Meritor Inc.,2011,0.000000000000000
BBB-,Methanex Corp.,2011,0.000016809315164
BBB-,Methanex Corp.,2011,0.000019464848368
BB-,Micron Technology Inc.,2011,0.000062431676350
BB-,Micron Technology Inc.,2011,0.000056526266491
AAA,Microsoft Corp.,2011,0.000458971563665
BB,Mobile TeleSystems PJSC,2011,0.000046791640170
BB,Mobile TeleSystems PJSC,2011,0.000043831645585
BB,Mobile TeleSystems PJSC,2011,0.000055645828139
BB+,Mohawk Industries Inc.,2011,0.000021655566808
BB+,Mohawk Industries Inc.,2011,0.000023997237814
BBB-,"Mondelez International, Inc.",2011,0.000032102047536
A,"Mondelez International, Inc.",2011,0.000030927814566
BBB+,Moody's Corporation,2011,0.000002327162504
BBB+,Moody's Corporation,2011,0.000001816970214
BBB,Mosaic Co. (The),2011,0.000074536898336
BBB-,Motorola Solutions Inc.,2011,0.000091998567492
CCC+,Mueller Water Products Inc.,2011,0.000070826257272
BBB-,Murphy Oil Corp.,2011,0.000024139634640
AA,NIKE Inc.,2011,0.707879922318701
BBB,Nabors Industries Inc.,2011,0.000000000000070
BBB,National Fuel Gas Co.,2011,0.169483203980522
A-,National Grid Gas PLC,2011,0.000049739210782
B+,New York Times Co. (The),2011,0.000072588272914
BBB-,Newell Brands Inc.,2011,0.000045489667842
BBB-,Newell Brands Inc.,2011,0.000051319110142
BBB+,Newmont USA Ltd.,2011,0.000140382212024
BBB+,NextEra Energy Inc.,2011,0.000118632390132
BBB+,Nokia Corp.,2011,0.000091869296971
BBB,Nokia Corp.,2011,0.000086155390765
BBB+,Norfolk Southern Corp.,2011,0.000059943297629
BBB+,Norfolk Southern Corp.,2011,0.000080203522483
BBB,Northrop Grumman Corp.,2011,0.000050645347482
A-,Northwest Natural Gas Co.,2011,0.392897715476135
AA,Nucor Corp.,2011,0.582260734822679
BBB-,O'Reilly Automotive Inc.,2011,0.000238820655921
BBB-,O'Reilly Automotive Inc.,2011,0.000221135755616
B,Olin Corp.,2011,0.000035216178532
BB,Olin Corp.,2011,0.000035516419822
BBB+,Omnicom Group Inc.,2011,0.000046419315691
BBB,Open Text Corporation,2011,0.000088026150451
BB+,Otter Tail Corporation,2011,0.000065307793850
A+,PACCAR Inc.,2011,0.000053728910720
A+,PACCAR Inc.,2011,0.000049616674473
BBB,PG&E Corp.,2011,0.000061122902023
BBB,PG&E Corp.,2011,0.000053609588693
BBB-,PG&E Corp.,2011,0.000056513353842
BB+,PLDT Inc.,2011,0.000066431977220
BB+,PLDT Inc.,2011,0.000068473754932
BB,PNM Resources Inc,2011,0.000053668170425
A,POSCO,2011,0.002401649655032
A-,POSCO,2011,0.002831057744555
A,PPG Industries Inc.,2011,0.000065651175774
BBB,Packaging Corp. of America,2011,0.000050823573478
BBB,Packaging Corp. of America,2011,0.000053298970490
BB+,Peabody Energy Corp.,2011,0.000035879688907
BBB+,Pearson PLC,2011,0.000073151455244
AA,PepsiCo Inc.,2011,0.150824043409349
A-,PepsiCo Inc.,2011,0.148933091049485
BBB,PerkinElmer Inc.,2011,0.000090253366528
BBB,PerkinElmer Inc.,2011,0.000098811840645
BB+,Pioneer Natural Resources Co.,2011,0.000041228005356
A,Pitney Bowes Inc.,2011,0.000000000000142
BBB-,Plains All American Pipeline L.P.,2011,0.000048236849794
BBB-,Plains All American Pipeline L.P.,2011,0.000043879270284
A,Portland General Electric Co.,2011,0.000080695987431
BB+,Precision Drilling Corp.,2011,0.000041595273568
BBB+,Quest Diagnostics Inc.,2011,0.000109012471408
BB,Range Resources Corp.,2011,0.000259799833389
BB,Range Resources Corp.,2011,0.000304538510559
BB-,Rent-A-Center Inc.,2011,0.000079156073156
A,Rockwell Automation Inc.,2011,0.736788506222118
BBB,Rogers Communications Inc.,2011,0.000091989702765
BB,Royal Caribbean Cruises Ltd.,2011,0.000006146807836
B-,"Ryman Hospitality Properties, Inc.",2011,0.000013998725143
B,"Ryman Hospitality Properties, Inc.",2011,0.000011662449342
A,SK Telecom Co. Ltd.,2011,0.000104469948738
AA-,Sanofi,2011,0.604955824245679
AAA,Sanofi,2011,0.593571098865930
BB-,Scholastic Corp.,2011,0.000100388685269
BB-,Scotts Miracle-Gro Co. (The),2011,0.000038746373015
BB+,Seagate Technology plc,2011,0.000046602575954
BBB,Shaw Communications Inc.,2011,0.000401423993976
BBB-,Shaw Communications Inc.,2011,0.000173270893222
BB-,Silgan Holdings Inc.,2011,0.000053588796216
BB-,Silgan Holdings Inc.,2011,0.000057531006849
B,Sinclair Broadcast Group Inc.,2011,0.000068529633515
B,Sinclair Broadcast Group Inc.,2011,0.000074528650748
B,Sinclair Broadcast Group Inc.,2011,0.000075106848415
A-,Snap-on Inc.,2011,0.000052434914513
B,Sonic Automotive Inc.,2011,0.000055534330158
BBB+,Sonoco Products Co.,2011,0.000041868681052
BBB+,Sonoco Products Co.,2011,0.000040910881658
BBB+,Sonoco Products Co.,2011,0.000045401394638
A-,Sony Corp.,2011,0.000008541934105
BBB-,Southern Copper Corp.,2011,0.000126738542363
A,Southern Power Company,2011,0.000128303678995
BBB+,Southern Power Company,2011,0.000142049601027
BBB+,Southern Power Company,2011,0.000128422236891
BBB-,Southwest Airlines Co.,2011,0.000941752649537
BBB+,Southwest Gas Corp.,2011,0.204947730855440
A,Stanley Black & Decker Inc.,2011,0.323721365567071
BBB+,Stanley Black & Decker Inc.,2011,0.339956653311878
A,Starbucks Corp.,2011,0.000128926689505
A+,Target Corp.,2011,0.542476476657296
BBB,Teck Resources Ltd.,2011,0.000098553388518
BB-,Teleflex Incorporated,2011,0.000066869918561
BB-,Teleflex Incorporated,2011,0.000071520637172
BBB-,Telephone and Data Systems Inc.,2011,0.000095432356655
CCC+,Tenet Healthcare Corp.,2011,0.000054904903918
BB-,Tenet Healthcare Corp.,2011,0.000050480460870
B+,Tenneco Inc.,2011,0.000039675386594
BB-,Terex Corp.,2011,0.000038085283178
A,Thomson Reuters Corp.,2011,0.000026900667059
A-,Thomson Reuters Corp.,2011,0.000027500946082
BB+,Toll Brothers Inc.,2011,0.000022759697939
BB,Toll Brothers Inc.,2011,0.000019906253108
BB+,TransAlta Corp.,2011,0.000040396688087
BB-,"TreeHouse Foods, Inc.",2011,0.000030921055100
BB-,Trinity Industries Inc.,2011,0.000051711400825
BBB,Triton Container International Ltd.,2011,0.000005102164814
BBB,Triton Container International Ltd.,2011,0.000005347208095
BBB-,Tupperware Brands Corporation,2011,0.000128894075947
BB-,Tutor Perini Corporation,2011,0.000026776850440
B,Unisys Corp.,2011,0.000119611309430
B,United Rentals Inc.,2011,0.000015191688725
BBB-,United States Cellular Corporation,2011,0.000110869251361
BB-,Vail Resorts Inc.,2011,0.000013967098432
BBB-,Valmont Industries Inc.,2011,0.000088352213054
BBB+,Vector Ltd.,2011,0.000047567518647
BBB-,"Verisk Analytics, Inc.",2011,0.000028170071205
BBB-,"Verisk Analytics, Inc.",2011,0.000022247857849
BB,Vishay Intertechnology Inc.,2011,0.000057088581392
BB+,Vishay Intertechnology Inc.,2011,0.000068241854946
BB,Vulcan Materials Co.,2011,0.000008106112110
BB,Vulcan Materials Co.,2011,0.000007543905316
BBB+,WEC Energy Group Inc.,2011,0.000072089951869
A,WEC Energy Group Inc.,2011,0.000080648716826
BB+,Williams Companies Inc. (The),2011,0.000056050051245
BB+,Williams Companies Inc. (The),2011,0.000061232608502
BBB,Worthington Industries Inc.,2011,0.000074503883429
A,Xcel Energy Inc.,2011,0.000211544772331
BBB+,York Water Co. (The),2011,0.000147335038639
BBB-,Yum! Brands Inc.,2011,0.000074566060719
AA,3M Company,2012,0.832114653284948
BB-,AAR CORP.,2012,0.000004924360698
BBB+,ABB Ltd,2012,0.000077628799739
BBB,ABB Ltd.,2012,0.000260918059261
A,ABB Ltd.,2012,0.000313121748041
A,ALLETE Inc.,2012,0.000136110969532
A,"ALLETE, Inc.",2012,0.000029165770332
B,AMC Networks Inc.,2012,0.000008950622288
B+,AMC Networks Inc.,2012,0.000008313782157
A+,Abbott Laboratories,2012,0.000018193815336
A+,Abbott Laboratories,2012,0.000131544976336
B-,"Acadia Healthcare Company, Inc.",2012,0.000058551939714
BBB-,"Advance Auto Parts, Inc.",2012,0.000014837216748
BB-,Advanced Micro Devices Inc.,2012,0.000105376462229
B+,"Advanced Micro Devices, Inc.",2012,0.000017615059096
B+,"Advanced Micro Devices, Inc.",2012,0.000015741489680
B+,"Advanced Micro Devices, Inc.",2012,0.000023974382083
B,"Advanced Micro Devices, Inc.",2012,0.000020656600497
A,"Air Products and Chemicals, Inc.",2012,0.000006013550374
B,Alaska Air Group Inc.,2012,0.000091302687408
B-,Alere Inc.,2012,0.000005808583714
B-,Alere Inc.,2012,0.000006886638138
BB,"AllScripts Healthcare Solutions, Inc.",2012,0.000008625665892
BBB-,Allegheny Technologies Incorporated,2012,0.000015469886135
B+,Alliance Laundry Systems LLC,2012,0.000014703542266
B,Alliance Laundry Systems LLC,2012,0.000016586429559
A,Alliant Energy Corp.,2012,0.000120377164819
BBB,Alliant Energy Corp.,2012,0.000101805468184
BBB+,Alliant Energy Corporation,2012,0.000018983861870
B-,"Allison Transmission, Inc.",2012,0.000006381711099
BB,"Allison Transmission, Inc.",2012,0.000003105026867
B+,"Alon USA Energy, Inc.",2012,0.000011333506978
B,"Alon USA Energy, Inc.",2012,0.000013691965974
AA-,Amazon.com Inc.,2012,0.760215553711607
BBB+,Ameren Corporation,2012,0.000014043196146
A,America Movil S.A.B. de C.V.,2012,0.000000872056194
A,America Movil S.A.B. de C.V.,2012,0.000000792243704
A,America Movil S.A.B. de C.V.,2012,0.000000971420639
A,America Movil S.A.B. de C.V.,2012,0.000000767453550
A,America Movil S.A.B. de C.V.,2012,0.000000892403909
A,"America Movil, S.A.B. de C.V.",2012,0.000000004441330
A,"America Movil, S.A.B. de C.V.",2012,0.000000004835414
A,"America Movil, S.A.B. de C.V.",2012,0.000000005165797
A,"America Movil, S.A.B. de C.V.",2012,0.001621044645347
B,American Axle & Manufacturing Holdings Inc.,2012,0.000019579945673
B+,"American Axle & Manufacturing Holdings, Inc.",2012,0.000001862092147
B,"American Axle & Manufacturing, Inc.",2012,0.000001858998165
BBB-,American Electric Power Co. Inc.,2012,0.000086958597014
BBB-,American Electric Power Co. Inc.,2012,0.000069418235711
BBB,"American Electric Power Company, Inc.",2012,0.000015489311777
BBB,"American Electric Power Company, Inc.",2012,0.000018171177531
A+,American States Water Co.,2012,0.000323352812279
BBB,"American Water Works Company, Inc.",2012,0.000031868247450
A-,"Ameriprise Financial, Inc",2012,0.000031082867779
A-,AmerisourceBergen Corp.,2012,0.000349289406941
A-,AmerisourceBergen Corp.,2012,0.000017713563346
A+,Amgen Inc.,2012,0.000388608430434
BBB+,Amgen Inc.,2012,0.000020826766352
BBB+,Amgen Inc.,2012,0.000019767740464
BBB,Amgen Inc.,2012,0.000012288508973
A+,Amgen Inc.,2012,0.000371673518386
BB,Amkor Technology Inc.,2012,0.000037427987763
BB,Amkor Technology Inc.,2012,0.000036319497365
BB-,"Amkor Technology, Inc.",2012,0.000004106791840
BBB,Amphenol Corp.,2012,0.000135805391257
BBB,Amphenol Corp.,2012,0.000137320137500
BBB,Amphenol Corporation,2012,0.000026862139805
A-,Analog Devices Inc.,2012,0.000289090810367
A-,"Analog Devices, Inc.",2012,0.000203593064117
A,Anheuser Busch InBev NV/SA,2012,0.000005513791405
A,Anheuser Busch InBev NV/SA,2012,0.000005002819405
A-,Anheuser-Busch InBev SA/NV,2012,0.000008812534211
BBB+,Anheuser-Busch InBev SA/NV,2012,0.000007590490570
A-,Apache Corporation,2012,0.000040524074825
BBB+,Apache Corporation,2012,0.000028836634481
AA,Archer Daniels Midland Co.,2012,0.345045230463922
A,Archer Daniels Midland Co.,2012,0.354165662613325
A,Archer Daniels Midland Company,2012,0.000021405449690
A,Archer Daniels Midland Company,2012,0.000022650649297
A,Archer-Daniels-Midland Company,2012,0.000033441298502
BB,Arcos Dorados Holdings Inc.,2012,0.000004613153207
B+,"Armstrong World Industries, Inc.",2012,0.000014753628555
BBB-,"Arrow Electronics, Inc.",2012,0.000017389211451
CCC+,"Asbury Automotive Group, Inc.",2012,0.000005949545931
B-,"Asbury Automotive Group, Inc.",2012,0.000006459645222
BB-,Ashland LLC,2012,0.000022256218080
AA-,AstraZeneca PLC,2012,0.375891645413301
A+,AstraZeneca PLC,2012,0.129568322841683
BBB+,Atmos Energy Corp.,2012,0.181659024930146
BBB+,Atmos Energy Corporation,2012,0.000021475634841
BBB,AutoZone Inc.,2012,0.000074009414744
BBB,AutoZone Inc.,2012,0.000003297144531
A,AutoZone Inc.,2012,0.000084625213408
BBB,"AutoZone, Inc.",2012,0.000008749529351
AAA,Automatic Data Processing Inc.,2012,0.000073792779348
A,Avery Dennison Corp.,2012,0.000050074199818
A,Avery Dennison Corp.,2012,0.000054641421477
BBB,Avery Dennison Corporation,2012,0.000008892158369
B+,"Avis Budget Group, Inc",2012,0.000006719946597
A-,Avista Corp.,2012,0.000038083926085
BBB-,Avnet Inc.,2012,0.000114718005447
BBB-,Avnet Inc.,2012,0.000118133186228
BBB-,"Avnet, Inc.",2012,0.000022023541032
BBB-,"Avnet, Inc.",2012,0.000020875792201
BBB-,"Avnet, Inc.",2012,0.000013582814332
BBB-,BCE Inc.,2012,0.000094663745042
BBB,BCE Inc.,2012,0.000007634949172
BBB-,BRF S.A.,2012,0.000054297653112
BBB-,BRF S.A.,2012,0.000002420140430
BBB-,BRF S.A.,2012,0.000002523093059
A-,Baidu Inc.,2012,0.000067550763127
A,"Baidu, Inc.",2012,0.000050581429910
A-,Baker Hughes Inc.,2012,0.000111134064314
A,"Baker Hughes, a GE company, LLC",2012,0.000015321846699
BB+,Ball Corporation,2012,0.000037932090838
BB+,Ball Corporation,2012,0.000043467494025
BBB-,Ball Corporation,2012,0.000004569766250
A-,Barrick Gold Corp.,2012,0.000155863456450
A-,Barrick Gold Corp.,2012,0.000157842219311
BBB+,Barrick Gold Corp.,2012,0.000156397082623
BBB+,Barrick Gold Corporation,2012,0.000011551667881
A,Baxter International Inc.,2012,0.000008266776511
A-,Baxter International Inc.,2012,0.000012401921323
CCC,Beazer Homes USA Inc.,2012,0.000067100237315
CC,"Beazer Homes USA, Inc.",2012,0.000218697809137
B-,"Beazer Homes USA, Inc.",2012,0.000203349373225
B+,"Beazer Homes USA, Inc.",2012,0.000165579477202
CCC+,"Beazer Homes USA, Inc.",2012,0.000145919856139
A,"Becton, Dickinson and Company",2012,0.000031670057745
A-,"Becton, Dickinson and Company",2012,0.000028266782640
B+,Belden Inc.,2012,0.000072463060305
B+,Belden Inc.,2012,0.000061285965155
BB,"Benchmark Electronics, Inc.",2012,0.000018117122374
CCC,Berry Global Group Inc.,2012,0.000004771726760
BBB,"Big Lots Canada, Inc.",2012,0.000156596584092
BBB-,"Big Lots Canada, Inc.",2012,0.000137630514394
BBB,Bio-Rad Laboratories Inc.,2012,0.000229648313673
BBB+,Biogen Inc.,2012,0.000982264546118
BBB,Biogen Inc.,2012,0.000063329009497
BBB-,Black Hills Corporation,2012,0.000010360242408
CCC+,Boise Cascade Company,2012,0.000009020741995
B,Boise Cascade Company,2012,0.000009441321652
BB+,Booz Allen Hamilton Inc.,2012,0.000013650541776
BB-,Booz Allen Hamilton Inc.,2012,0.000014371193145
BBB+,BorgWarner Inc.,2012,0.000037109265297
BBB,BorgWarner Inc.,2012,0.000002934201652
BBB-,Boston Scientific Corporation,2012,0.000015679341346
CCC+,Boyd Gaming Corporation,2012,0.000003604313747
BBB-,Braskem International Ltd,2012,0.000001132267722
BBB-,Braskem S.A.,2012,0.000019679822255
BBB-,Braskem S.A.,2012,0.000012913882401
BB,Bright Horizons Family Solutions LLC,2012,0.000002184392301
BB,"Brinker International, Inc.",2012,0.000003435222661
AAA,Bristol-Myers Squibb Co.,2012,0.000192595428490
A+,Bristol-Myers Squibb Co.,2012,0.000191909644717
A+,Bristol-Myers Squibb Co.,2012,0.000197507130074
A,Bristol-Myers Squibb Company,2012,0.000032387020224
A,Bristol-Myers Squibb Company,2012,0.000028467567683
BBB+,British American Tobacco p.l.c.,2012,0.000019413750297
